Join_Code,Detections,Original_File,Species,kod kytky + datum,barviva,na_sklicko,pozn,mnozstvi_pylu,Cleaned_Code,Collection_Date
cal_chi_25_6_4,3,20260224_045_Cal_Chi_25_6_4_Colorado2025-greenBox_details.csv,Cal_chi,Cal_Chi_25/6_4,30.0,5,bp,18,Cal_Chi_25/6_4,2025-06-25
cal_chi_25_6_3,12,20260224_044_Cal_Chi_25_6_3_Colorado2025-greenBox_details.csv,Cal_chi,Cal_Chi_25/6_3,30.0,5,bp,72,Cal_Chi_25/6_3,2025-06-25
Ran_Ado_26/6_2,59,20251031_076_pol_pro_Ran_ado_2025_14_Colorado2025_details.csv,Ran_ado,Ran_Ado_26/6_2,40.0,10,mp,236,Ran_Ado_26/6_2,2025-06-26
Ran_Ado_26/6_4,1332,20251031_078_pol_pro_Ran_ado_2025_16_Colorado2025_details.csv,Ran_ado,Ran_Ado_26/6_4,40.0,10,mp,5328,Ran_Ado_26/6_4,2025-06-26
Ran_Ado_26/6_5,3238,20251031_079_pol_pro_Ran_ado_2025_17_Colorado2025_details.csv,Ran_ado,Ran_Ado_26/6_5,40.0,5,bp,25904,Ran_Ado_26/6_5,2025-06-26
Ran_Ado_26/6_1,2,20251031_075_pol_pro_Ran_ado_2025_13_Colorado2025_details.csv,Ran_ado,Ran_Ado_26/6_1,40.0,10,bez pylu,8,Ran_Ado_26/6_1,2025-06-26
Ran_Ado_26/6_3,1586,20251031_077_pol_pro_Ran_ado_2025_15_Colorado2025_details.csv,Ran_ado,Ran_Ado_26/6_3,40.0,10,mp,6344,Ran_Ado_26/6_3,2025-06-26
Ran_Ado_26/6_6,2,20251031_080_pol_pro_Ran_ado_2025_18_Colorado2025_details.csv,Ran_ado,Ran_Ado_26/6_6,40.0,5,bp,16,Ran_Ado_26/6_6,2025-06-26
cal_chi_27_6_5,8,20260224_081_Cal_Chi_27_6_5_Colorado2025-greenBox_details.csv,Cal_chi,Cal_Chi_27/6_5,30.0,5,bp,48,Cal_Chi_27/6_5,2025-06-27
cal_chi_27_6_6,1,20260224_082_Cal_Chi_27_6_6_Colorado2025-greenBox_details.csv,Cal_chi,Cal_Chi_27/6_6,30.0,5,bp,6,Cal_Chi_27/6_6,2025-06-27
Ran_Ado_28/6_3,4560,20251031_083_pol_pro_Ran_ado_2025_21_Colorado2025_details.csv,Ran_ado,Ran_Ado_28/6_3,40.0,5,,36480,Ran_Ado_28/6_3,2025-06-28
Ran_Ado_28/6_6,2013,20251031_086_pol_pro_Ran_ado_2025_24_Colorado2025_details.csv,Ran_ado,Ran_Ado_28/6_6,40.0,5,,16104,Ran_Ado_28/6_6,2025-06-28
Ran_Ado_28/6_4,18602,20251031_084_pol_pro_Ran_ado_2025_22_Colorado2025_details.csv,Ran_ado,Ran_Ado_28/6_4,40.0,5,,148816,Ran_Ado_28/6_4,2025-06-28
Ran_Ado_28/6_1,4491,20251031_081_pol_pro_Ran_ado_2025_19_Colorado2025_details.csv,Ran_ado,Ran_Ado_28/6_1,40.0,10,bez pylu,17964,Ran_Ado_28/6_1,2025-06-28
Ran_Ado_28/6_5,2157,20251031_085_pol_pro_Ran_ado_2025_23_Colorado2025_details.csv,Ran_ado,Ran_Ado_28/6_5,40.0,5,,17256,Ran_Ado_28/6_5,2025-06-28
Ran_Ado_28/6_2,1421,20251031_082_pol_pro_Ran_ado_2025_20_Colorado2025_details.csv,Ran_ado,Ran_Ado_28/6_2,40.0,,na,#DIV/0!,Ran_Ado_28/6_2,2025-06-28
cal_chi_29_6_5,930,20260224_035_Cal_Chi_29_6_5_Colorado2025-greenBox_details.csv,Cal_chi,Cal_Chi_29/6_5,30.0,5,,5580,Cal_Chi_29/6_5,2025-06-29
cal_chi_29_6_3,222,20260224_033_Cal_Chi_29_6_3_Colorado2025-greenBox_details.csv,Cal_chi,Cal_Chi_29/6_3,30.0,5,,1332,Cal_Chi_29/6_3,2025-06-29
cal_chi_29_6_1,1378,20260224_031_Cal_Chi_29_6_1_Colorado2025-greenBox_details.csv,Cal_chi,Cal_Chi_29/6_1,30.0,5,,8268,Cal_Chi_29/6_1,2025-06-29
cal_chi_29_6_2,1209,20260224_032_Cal_Chi_29_6_2_Colorado2025-greenBox_details.csv,Cal_chi,Cal_Chi_29/6_2,30.0,5,,7254,Cal_Chi_29/6_2,2025-06-29
cal_chi_29_6_4,3,20260224_034_Cal_Chi_29_6_4_Colorado2025-greenBox_details.csv,Cal_chi,Cal_Chi_29/6_4,30.0,5,bp,18,Cal_Chi_29/6_4,2025-06-29
Ran_Ado_30/6_1,6689,20251031_087_pol_pro_Ran_ado_2025_25_Colorado2025_details.csv,Ran_ado,Ran_Ado_30/6_1,30.0,5,bp,40134,Ran_Ado_30/6_1,2025-06-30
Ran_Ado_30/6_2,2104,20251031_088_pol_pro_Ran_ado_2025_26_Colorado2025_details.csv,Ran_ado,Ran_Ado_30/6_2,30.0,5,,12624,Ran_Ado_30/6_2,2025-06-30
Ran_Ado_30/6_3,11711,20251031_089_pol_pro_Ran_ado_2025_27_Colorado2025_details.csv,Ran_ado,Ran_Ado_30/6_3,30.0,5,bp,70266,Ran_Ado_30/6_3,2025-06-30
cal_chi_1_7_1,267,20260224_047_Cal_Chi_1_7_1_Colorado2025-greenBox_details.csv,Cal_chi,Cal_Chi_1/7_1,30.0,5,,1602,Cal_Chi_1/7_1,2025-07-01
Ran_Ado_2/7_2,848,20251031_001_pol_pro_Ran_ado_2025_32_Colorado2025_details.csv,Ran_ado,Ran_Ado_2/7_2,30.0,5,bp,5088,Ran_Ado_2/7_2,2025-07-02
cal_chi_3_7_4,83,20260224_056_Cal_Chi_3_7_4_Colorado2025-greenBox_details.csv,Cal_chi,Cal_Chi_3/7_4,30.0,5,bp,498,Cal_Chi_3/7_4,2025-07-03
cal_chi_3_7_2,56,20260224_054_Cal_Chi_3_7_2_Colorado2025-greenBox_details.csv,Cal_chi,Cal_Chi_3/7_2,30.0,5,bp,336,Cal_Chi_3/7_2,2025-07-03
cal_chi_3_7_3,9,20260224_055_Cal_Chi_3_7_3_Colorado2025-greenBox_details.csv,Cal_chi,Cal_Chi_3/7_3,30.0,5,bp,54,Cal_Chi_3/7_3,2025-07-03
cal_chi_3_7_1,2118,20260224_053_Cal_Chi_3_7_1_Colorado2025-greenBox_details.csv,Cal_chi,Cal_Chi_3/7_1,30.0,5,,12708,Cal_Chi_3/7_1,2025-07-03
cal_chi_5_7_5,54,20260224_099_Cal_Chi_5_7_5_Colorado2025-greenBox_details.csv,Cal_chi,Cal_Chi_5/7_5,30.0,5,mp,324,Cal_Chi_5/7_5,2025-07-05
cal_chi_5_7_1,15,20260224_095_Cal_Chi_5_7_1_Colorado2025-greenBox_details.csv,Cal_chi,Cal_Chi_5/7_1,30.0,5,bp,90,Cal_Chi_5/7_1,2025-07-05
cal_chi_5_7_2,444,20260224_096_Cal_Chi_5_7_2_Colorado2025-greenBox_details.csv,Cal_chi,Cal_Chi_5/7_2,30.0,5,,2664,Cal_Chi_5/7_2,2025-07-05
cal_chi_5_7_6,209,20260224_100_Cal_Chi_5_7_6_Colorado2025-greenBox_details.csv,Cal_chi,Cal_Chi_5/7_6,30.0,5,,1254,Cal_Chi_5/7_6,2025-07-05
cal_chi_7_7_4,24,20260224_039_Cal_Chi_7_7_4_Colorado2025-greenBox_details.csv,Cal_chi,Cal_Chi_7/7_4,30.0,5,bp,144,Cal_Chi_7/7_4,2025-07-07
cal_chi_7_7_5,21,20260224_040_Cal_Chi_7_7_5_Colorado2025-greenBox_details.csv,Cal_chi,Cal_Chi_7/7_5,30.0,5,bp,126,Cal_Chi_7/7_5,2025-07-07
cal_chi_7_7_2,1,20260224_037_Cal_Chi_7_7_2_Colorado2025-greenBox_details.csv,Cal_chi,Cal_Chi_7/7_2,30.0,5,bp,6,Cal_Chi_7/7_2,2025-07-07
cal_chi_7_7_3,7,20260224_038_Cal_Chi_7_7_3_Colorado2025-greenBox_details.csv,Cal_chi,Cal_Chi_7/7_3,30.0,5,bp,42,Cal_Chi_7/7_3,2025-07-07
