Collection_Date,Species,Total_Grains_Avg,Total_Grains_SE,N_Samples,Conspecific_Avg,Conspecific_SE,Conspecific_count,Heterospecific_Avg,Heterospecific_SE,Heterospecific_count
2025-07-12,Ran_ado,34.72222222222222,6.707134800035951,18,19.0,4.059202407247824,18,15.722222222222221,2.8026662790287644,18
2025-07-14,Ran_ado,45.74545454545454,9.068212070530029,55,27.8,6.344562082087937,55,17.945454545454545,2.9080658968605957,55
2025-07-16,Ran_ado,41.13461538461539,5.3601110981987174,52,21.134615384615383,3.110221174007926,52,20.0,2.464223648544354,52
2025-07-18,Ran_ado,14.902439024390244,3.1285087381130534,41,7.048780487804878,1.637946073858517,41,7.853658536585366,1.5997564508271618,41
2025-07-20,Ran_ado,33.15217391304348,5.971346022877231,46,19.23913043478261,4.103984723560278,46,13.91304347826087,2.0678879250310915,46
2025-07-22,Ran_ado,20.916666666666668,2.815944480010382,60,10.366666666666667,1.6734832354582156,60,10.55,1.3937765223845189,60
2025-07-24,Ran_ado,45.4375,8.773524923503285,16,19.75,4.432362048990733,16,25.6875,4.6230570243076174,16
2025-07-26,Ran_ado,49.63636363636363,15.858621244250553,11,31.0,11.48675126158195,11,18.636363636363637,4.76401802773615,11
2025-07-28,Ran_ado,26.88888888888889,9.971409747156068,9,13.0,6.148622248565572,9,13.88888888888889,4.15813942248094,9
2025-07-30,Ran_ado,38.666666666666664,14.638230008364324,9,22.666666666666668,8.612007121842542,9,16.0,6.066758241067099,9
2025-08-01,Ran_ado,54.416666666666664,15.544880446012058,12,24.75,7.660529493527984,12,29.666666666666668,8.146697911957144,12
2025-08-03,Ran_ado,76.0,29.40568728060007,9,47.44444444444444,18.503086162336928,9,28.555555555555557,10.974859036188006,9
