CZI_File,Locality,Species,Confidence,Center_X_px,Center_Y_px,Area_um2,Perimeter_um,Circularity,Aspect_Ratio,BoundingBox_Width_um,BoundingBox_Height_um,Suitable_For_Volume
20260710_106_AbuAus15 AbuAus15_Kocarkova.czi,260709_Pollen-Production,AbuAus,0.9519,8890.6,13512.6,7986.8,337.37,0.882,0.991,101.76,102.64,True
20260710_106_AbuAus15 AbuAus15_Kocarkova.czi,260709_Pollen-Production,AbuAus,0.9519,7649.2,10507.7,7391.95,321.75,0.897,0.982,95.62,97.37,True
20260710_106_AbuAus15 AbuAus15_Kocarkova.czi,260709_Pollen-Production,AbuAus,0.9517,10789.9,13827.2,7359.63,329.02,0.854,0.933,97.37,104.39,True
20260710_106_AbuAus15 AbuAus15_Kocarkova.czi,260709_Pollen-Production,AbuAus,0.9508,6886.3,11025.8,7400.8,324.75,0.882,1.0,99.13,99.13,True
20260710_106_AbuAus15 AbuAus15_Kocarkova.czi,260709_Pollen-Production,AbuAus,0.9507,6427.8,12910.5,8008.74,393.0,0.652,1.009,102.64,101.76,True
20260710_106_AbuAus15 AbuAus15_Kocarkova.czi,260709_Pollen-Production,AbuAus,0.9503,12222.9,11611.7,8295.01,392.09,0.678,1.033,108.78,105.27,True
20260710_106_AbuAus15 AbuAus15_Kocarkova.czi,260709_Pollen-Production,AbuAus,0.9497,7326.3,11796.1,8874.48,353.37,0.893,1.0,107.02,107.02,True
20260710_106_AbuAus15 AbuAus15_Kocarkova.czi,260709_Pollen-Production,AbuAus,0.9497,8196.6,11671.1,7258.42,326.2,0.857,0.932,95.62,102.64,True
20260710_106_AbuAus15 AbuAus15_Kocarkova.czi,260709_Pollen-Production,AbuAus,0.9492,11397.3,7429.3,10102.69,400.99,0.79,1.03,119.3,115.8,True
20260710_106_AbuAus15 AbuAus15_Kocarkova.czi,260709_Pollen-Production,AbuAus,0.9491,9713.2,12450.7,6471.2,304.72,0.876,1.0,93.86,93.86,True
20260710_106_AbuAus15 AbuAus15_Kocarkova.czi,260709_Pollen-Production,AbuAus,0.9485,7107.6,11292.5,7295.74,320.0,0.895,0.956,94.74,99.13,True
20260710_106_AbuAus15 AbuAus15_Kocarkova.czi,260709_Pollen-Production,AbuAus,0.9474,6436.0,9572.9,8479.71,360.26,0.821,0.951,102.64,107.9,True
20260710_106_AbuAus15 AbuAus15_Kocarkova.czi,260709_Pollen-Production,AbuAus,0.947,13266.4,9108.4,9065.73,362.48,0.867,0.91,106.15,116.67,True
20260710_106_AbuAus15 AbuAus15_Kocarkova.czi,260709_Pollen-Production,AbuAus,0.9464,11662.8,11866.0,3656.15,229.38,0.873,1.053,69.3,65.79,True
20260710_106_AbuAus15 AbuAus15_Kocarkova.czi,260709_Pollen-Production,AbuAus,0.9462,9632.1,10838.0,3249.05,223.09,0.82,1.013,66.67,65.79,True
20260710_106_AbuAus15 AbuAus15_Kocarkova.czi,260709_Pollen-Production,AbuAus,0.9444,14247.8,11213.5,3801.58,232.89,0.881,0.987,67.55,68.42,True
20260710_106_AbuAus15 AbuAus15_Kocarkova.czi,260709_Pollen-Production,AbuAus,0.9422,13038.2,11560.1,10712.18,392.27,0.875,0.985,114.92,116.67,True
20260710_106_AbuAus15 AbuAus15_Kocarkova.czi,260709_Pollen-Production,AbuAus,0.9419,10403.3,9895.7,7223.43,336.64,0.801,1.083,103.51,95.62,True
