epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
47,14955.1,0.07543,0.98814,0.99998,0.03383,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,15272.5,0.07371,0.98836,0.99998,0.03345,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,15584.1,0.07402,0.98843,0.99998,0.03332,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,15892.7,0.07203,0.98854,0.99998,0.03284,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,16209.9,0.0727,0.98854,0.99998,0.03242,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,16537.3,0.07124,0.98853,0.99998,0.03245,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,16857.5,0.07074,0.98867,0.99998,0.03221,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,17179.3,0.07003,0.98903,0.99998,0.03183,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,17493.1,0.06952,0.9891,0.99998,0.0315,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,17806.3,0.06908,0.98908,0.99998,0.03131,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,18123,0.06813,0.9893,0.99998,0.03112,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,18438.4,0.06637,0.9893,0.99998,0.03109,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,18748.6,0.06706,0.98912,0.99998,0.03086,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,19060.7,0.06584,0.98938,0.99998,0.03062,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,19385.2,0.06568,0.9893,0.99998,0.03031,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,19713.6,0.06482,0.98945,0.99998,0.02986,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,20037.3,0.06415,0.98975,0.99998,0.02969,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,20360.5,0.0613,0.98993,0.99998,0.02913,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,20684.9,0.0622,0.9898,0.99998,0.02872,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,21008.3,0.06083,0.9898,0.99998,0.02846,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,21329,0.06025,0.99001,0.99998,0.02812,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,21652.2,0.05911,0.99018,0.99998,0.02802,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,21971.5,0.05838,0.99021,0.99998,0.02781,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,22296.4,0.05741,0.9904,0.99998,0.02754,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,22624.8,0.05672,0.99049,0.99998,0.0276,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,22962.1,0.05606,0.99032,0.99998,0.02758,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,23276.7,0.05462,0.99021,0.99998,0.02734,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,23597.4,0.05341,0.99036,0.99998,0.027,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,23926.8,0.05249,0.99066,1,0.02684,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,24233.4,0.05166,0.99056,1,0.02688,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
