Sample_ID,CZI_File,Species,Area_um2,Centroid_X,Centroid_Y,Width_px,Height_px,Perimeter_px,Confidence,Tile
Unknown_Sample,20260227_330_Gen_Alg_22_8_9_Colorado2025-greenBox.czi,Gen_alg,347.45,4955.0,630.0,31,20,115.7,0.873,20260227_330_Gen_Alg_22_8_9_Colorado2025-greenBox_x004608_y000000
Unknown_Sample,20260227_330_Gen_Alg_22_8_9_Colorado2025-greenBox.czi,Gen_alg,118.51,4937.0,625.0,16,12,48.49,0.86,20260227_330_Gen_Alg_22_8_9_Colorado2025-greenBox_x004608_y000000
Unknown_Sample,20260227_330_Gen_Alg_22_8_9_Colorado2025-greenBox.czi,Gen_alg,457.88,4954.0,632.0,31,27,123.6,0.907,20260227_330_Gen_Alg_22_8_9_Colorado2025-greenBox_x004608_y000512
Unknown_Sample,20260227_330_Gen_Alg_22_8_9_Colorado2025-greenBox.czi,Gen_alg,118.51,4937.0,625.0,16,12,48.49,0.836,20260227_330_Gen_Alg_22_8_9_Colorado2025-greenBox_x004608_y000512
Unknown_Sample,20260227_330_Gen_Alg_22_8_9_Colorado2025-greenBox.czi,Gen_alg,294.35,5695.0,740.0,21,23,74.04,0.94,20260227_330_Gen_Alg_22_8_9_Colorado2025-greenBox_x005120_y000512
Unknown_Sample,20260227_330_Gen_Alg_22_8_9_Colorado2025-greenBox.czi,Gen_alg,243.18,5529.0,643.0,19,21,66.63,0.938,20260227_330_Gen_Alg_22_8_9_Colorado2025-greenBox_x005120_y000512
Unknown_Sample,20260227_330_Gen_Alg_22_8_9_Colorado2025-greenBox.czi,Gen_alg,288.97,5695.0,740.0,20,23,73.21,0.934,20260227_330_Gen_Alg_22_8_9_Colorado2025-greenBox_x005632_y000512
Unknown_Sample,20260227_330_Gen_Alg_22_8_9_Colorado2025-greenBox.czi,Gen_alg,365.15,6667.0,1014.0,27,22,84.04,0.952,20260227_330_Gen_Alg_22_8_9_Colorado2025-greenBox_x006144_y000512
Unknown_Sample,20260227_330_Gen_Alg_22_8_9_Colorado2025-greenBox.czi,Gen_alg,596.4,7082.0,1125.0,32,31,105.6,0.961,20260227_330_Gen_Alg_22_8_9_Colorado2025-greenBox_x006656_y000512
Unknown_Sample,20260227_330_Gen_Alg_22_8_9_Colorado2025-greenBox.czi,Gen_alg,371.31,6667.0,1014.0,26,23,85.21,0.952,20260227_330_Gen_Alg_22_8_9_Colorado2025-greenBox_x006656_y000512
