Sample_ID,CZI_File,Species,Area_um2,Centroid_X,Centroid_Y,Width_px,Height_px,Perimeter_px,Confidence,Tile
Unknown_Sample,20260227_314_Gen_Alg_18_8_9_Colorado2025-greenBox.czi,Gen_alg,533.69,4886.0,1628.0,25,36,103.36,0.79,20260227_314_Gen_Alg_18_8_9_Colorado2025-greenBox_x004608_y001024
Unknown_Sample,20260227_314_Gen_Alg_18_8_9_Colorado2025-greenBox.czi,Gen_alg,455.58,6641.0,1609.0,30,27,94.77,0.916,20260227_314_Gen_Alg_18_8_9_Colorado2025-greenBox_x006144_y001024
Unknown_Sample,20260227_314_Gen_Alg_18_8_9_Colorado2025-greenBox.czi,Gen_alg,498.29,6500.0,1613.0,37,22,100.53,0.904,20260227_314_Gen_Alg_18_8_9_Colorado2025-greenBox_x006144_y001024
Unknown_Sample,20260227_314_Gen_Alg_18_8_9_Colorado2025-greenBox.czi,Gen_alg,382.85,6770.0,1651.0,23,26,85.21,0.898,20260227_314_Gen_Alg_18_8_9_Colorado2025-greenBox_x006144_y001024
Unknown_Sample,20260227_314_Gen_Alg_18_8_9_Colorado2025-greenBox.czi,Gen_alg,328.6,6687.0,1595.0,21,25,78.63,0.82,20260227_314_Gen_Alg_18_8_9_Colorado2025-greenBox_x006144_y001024
Unknown_Sample,20260227_314_Gen_Alg_18_8_9_Colorado2025-greenBox.czi,Gen_alg,396.7,6770.0,1651.0,24,26,87.21,0.912,20260227_314_Gen_Alg_18_8_9_Colorado2025-greenBox_x006656_y001024
Unknown_Sample,20260227_314_Gen_Alg_18_8_9_Colorado2025-greenBox.czi,Gen_alg,375.16,7043.0,1652.0,26,22,84.38,0.897,20260227_314_Gen_Alg_18_8_9_Colorado2025-greenBox_x006656_y001024
Unknown_Sample,20260227_314_Gen_Alg_18_8_9_Colorado2025-greenBox.czi,Gen_alg,210.47,7013.0,1658.0,33,11,77.56,0.844,20260227_314_Gen_Alg_18_8_9_Colorado2025-greenBox_x006656_y001024
Unknown_Sample,20260227_314_Gen_Alg_18_8_9_Colorado2025-greenBox.czi,Gen_alg,329.37,6687.0,1595.0,21,25,78.63,0.844,20260227_314_Gen_Alg_18_8_9_Colorado2025-greenBox_x006656_y001024
Unknown_Sample,20260227_314_Gen_Alg_18_8_9_Colorado2025-greenBox.czi,Gen_alg,418.25,7943.0,1643.0,33,20,92.04,0.923,20260227_314_Gen_Alg_18_8_9_Colorado2025-greenBox_x007680_y001024
Unknown_Sample,20260227_314_Gen_Alg_18_8_9_Colorado2025-greenBox.czi,Gen_alg,376.7,8079.0,1613.0,25,25,84.87,0.917,20260227_314_Gen_Alg_18_8_9_Colorado2025-greenBox_x007680_y001024
Unknown_Sample,20260227_314_Gen_Alg_18_8_9_Colorado2025-greenBox.czi,Gen_alg,483.28,8586.0,1621.0,33,24,97.11,0.93,20260227_314_Gen_Alg_18_8_9_Colorado2025-greenBox_x008192_y001024
Unknown_Sample,20260227_314_Gen_Alg_18_8_9_Colorado2025-greenBox.czi,Gen_alg,332.83,8920.0,1599.0,26,21,78.87,0.93,20260227_314_Gen_Alg_18_8_9_Colorado2025-greenBox_x008704_y001024
Unknown_Sample,20260227_314_Gen_Alg_18_8_9_Colorado2025-greenBox.czi,Gen_alg,545.61,9062.0,1528.0,30,29,102.28,0.884,20260227_314_Gen_Alg_18_8_9_Colorado2025-greenBox_x008704_y001024
Unknown_Sample,20260227_314_Gen_Alg_18_8_9_Colorado2025-greenBox.czi,Gen_alg,413.25,9600.0,1565.0,24,28,87.11,0.917,20260227_314_Gen_Alg_18_8_9_Colorado2025-greenBox_x009216_y001024
Unknown_Sample,20260227_314_Gen_Alg_18_8_9_Colorado2025-greenBox.czi,Gen_alg,105.43,9374.0,1546.0,13,13,45.66,0.832,20260227_314_Gen_Alg_18_8_9_Colorado2025-greenBox_x009216_y001024
Unknown_Sample,20260227_314_Gen_Alg_18_8_9_Colorado2025-greenBox.czi,Gen_alg,419.79,10417.0,1644.0,30,23,90.87,0.931,20260227_314_Gen_Alg_18_8_9_Colorado2025-greenBox_x010240_y001024
Unknown_Sample,20260227_314_Gen_Alg_18_8_9_Colorado2025-greenBox.czi,Gen_alg,601.79,10968.0,1569.0,32,32,106.43,0.944,20260227_314_Gen_Alg_18_8_9_Colorado2025-greenBox_x010752_y001024
Unknown_Sample,20260227_314_Gen_Alg_18_8_9_Colorado2025-greenBox.czi,Gen_alg,290.89,11164.0,1642.0,20,24,75.8,0.917,20260227_314_Gen_Alg_18_8_9_Colorado2025-greenBox_x010752_y001024
Unknown_Sample,20260227_314_Gen_Alg_18_8_9_Colorado2025-greenBox.czi,Gen_alg,309.36,11126.0,1471.0,17,30,79.46,0.908,20260227_314_Gen_Alg_18_8_9_Colorado2025-greenBox_x010752_y001024
Unknown_Sample,20260227_314_Gen_Alg_18_8_9_Colorado2025-greenBox.czi,Gen_alg,478.66,11189.0,1624.0,29,28,95.94,0.906,20260227_314_Gen_Alg_18_8_9_Colorado2025-greenBox_x010752_y001024
Unknown_Sample,20260227_314_Gen_Alg_18_8_9_Colorado2025-greenBox.czi,Gen_alg,407.09,11186.0,1651.0,29,25,119.58,0.871,20260227_314_Gen_Alg_18_8_9_Colorado2025-greenBox_x010752_y001024
Unknown_Sample,20260227_314_Gen_Alg_18_8_9_Colorado2025-greenBox.czi,Gen_alg,511.75,11076.0,1407.0,36,23,99.94,0.702,20260227_314_Gen_Alg_18_8_9_Colorado2025-greenBox_x010752_y001024
Unknown_Sample,20260227_314_Gen_Alg_18_8_9_Colorado2025-greenBox.czi,Gen_alg,409.79,11531.0,1528.0,25,27,87.7,0.912,20260227_314_Gen_Alg_18_8_9_Colorado2025-greenBox_x011264_y001024
Unknown_Sample,20260227_314_Gen_Alg_18_8_9_Colorado2025-greenBox.czi,Gen_alg,156.99,11734.0,1658.0,26,10,63.31,0.847,20260227_314_Gen_Alg_18_8_9_Colorado2025-greenBox_x011264_y001024
Unknown_Sample,20260227_314_Gen_Alg_18_8_9_Colorado2025-greenBox.czi,Gen_alg,324.37,11911.0,1516.0,22,23,77.21,0.91,20260227_314_Gen_Alg_18_8_9_Colorado2025-greenBox_x011776_y001024
Unknown_Sample,20260227_314_Gen_Alg_18_8_9_Colorado2025-greenBox.czi,Gen_alg,497.13,12678.0,1629.0,30,27,95.94,0.941,20260227_314_Gen_Alg_18_8_9_Colorado2025-greenBox_x012288_y001024
Unknown_Sample,20260227_314_Gen_Alg_18_8_9_Colorado2025-greenBox.czi,Gen_alg,586.4,12782.0,1463.0,32,30,103.6,0.898,20260227_314_Gen_Alg_18_8_9_Colorado2025-greenBox_x012288_y001024
Unknown_Sample,20260227_314_Gen_Alg_18_8_9_Colorado2025-greenBox.czi,Gen_alg,578.7,14101.0,1407.0,36,26,107.11,0.865,20260227_314_Gen_Alg_18_8_9_Colorado2025-greenBox_x013824_y001024
Unknown_Sample,20260227_314_Gen_Alg_18_8_9_Colorado2025-greenBox.czi,Gen_alg,223.94,14541.0,1656.0,25,14,69.31,0.872,20260227_314_Gen_Alg_18_8_9_Colorado2025-greenBox_x014336_y001024
Unknown_Sample,20260227_314_Gen_Alg_18_8_9_Colorado2025-greenBox.czi,Gen_alg,440.57,3117.0,1925.0,31,24,91.36,0.944,20260227_314_Gen_Alg_18_8_9_Colorado2025-greenBox_x002560_y001536
