Sample_ID,CZI_File,Species,Area_um2,Centroid_X,Centroid_Y,Width_px,Height_px,Perimeter_px,Confidence,Tile
Unknown_Sample,20260226_261_Gen_Alg_2_8_7_Colorado2025-greenBox.czi,Gen_alg,539.07,14089.0,535.0,25,36,102.18,0.841,20260226_261_Gen_Alg_2_8_7_Colorado2025-greenBox_x013824_y000000
Unknown_Sample,20260226_261_Gen_Alg_2_8_7_Colorado2025-greenBox.czi,Gen_alg,390.55,15397.0,575.0,23,28,84.53,0.93,20260226_261_Gen_Alg_2_8_7_Colorado2025-greenBox_x014848_y000000
Unknown_Sample,20260226_261_Gen_Alg_2_8_7_Colorado2025-greenBox.czi,Gen_alg,457.11,15735.0,404.0,32,23,93.11,0.934,20260226_261_Gen_Alg_2_8_7_Colorado2025-greenBox_x015360_y000000
Unknown_Sample,20260226_261_Gen_Alg_2_8_7_Colorado2025-greenBox.czi,Gen_alg,386.7,15397.0,575.0,23,28,84.53,0.929,20260226_261_Gen_Alg_2_8_7_Colorado2025-greenBox_x015360_y000000
Unknown_Sample,20260226_261_Gen_Alg_2_8_7_Colorado2025-greenBox.czi,Gen_alg,530.61,16907.0,205.0,28,34,101.84,0.943,20260226_261_Gen_Alg_2_8_7_Colorado2025-greenBox_x016384_y000000
Unknown_Sample,20260226_261_Gen_Alg_2_8_7_Colorado2025-greenBox.czi,Gen_alg,509.06,16907.0,205.0,26,34,101.36,0.943,20260226_261_Gen_Alg_2_8_7_Colorado2025-greenBox_x016896_y000000
Unknown_Sample,20260226_261_Gen_Alg_2_8_7_Colorado2025-greenBox.czi,Gen_alg,420.56,13232.0,817.0,28,25,87.36,0.946,20260226_261_Gen_Alg_2_8_7_Colorado2025-greenBox_x012800_y000512
Unknown_Sample,20260226_261_Gen_Alg_2_8_7_Colorado2025-greenBox.czi,Gen_alg,493.67,13612.0,950.0,33,24,97.7,0.943,20260226_261_Gen_Alg_2_8_7_Colorado2025-greenBox_x013312_y000512
Unknown_Sample,20260226_261_Gen_Alg_2_8_7_Colorado2025-greenBox.czi,Gen_alg,566.78,14089.0,535.0,26,36,104.18,0.848,20260226_261_Gen_Alg_2_8_7_Colorado2025-greenBox_x013824_y000512
Unknown_Sample,20260226_261_Gen_Alg_2_8_7_Colorado2025-greenBox.czi,Gen_alg,325.52,14737.0,1118.0,28,19,79.46,0.942,20260226_261_Gen_Alg_2_8_7_Colorado2025-greenBox_x014336_y000512
Unknown_Sample,20260226_261_Gen_Alg_2_8_7_Colorado2025-greenBox.czi,Gen_alg,389.78,15397.0,575.0,23,28,84.53,0.93,20260226_261_Gen_Alg_2_8_7_Colorado2025-greenBox_x014848_y000512
Unknown_Sample,20260226_261_Gen_Alg_2_8_7_Colorado2025-greenBox.czi,Gen_alg,388.24,15397.0,575.0,23,28,84.53,0.929,20260226_261_Gen_Alg_2_8_7_Colorado2025-greenBox_x015360_y000512
Unknown_Sample,20260226_261_Gen_Alg_2_8_7_Colorado2025-greenBox.czi,Gen_alg,528.68,16479.0,663.0,37,25,103.6,0.951,20260226_261_Gen_Alg_2_8_7_Colorado2025-greenBox_x015872_y000512
Unknown_Sample,20260226_261_Gen_Alg_2_8_7_Colorado2025-greenBox.czi,Gen_alg,307.44,16503.0,1072.0,18,27,79.56,0.907,20260226_261_Gen_Alg_2_8_7_Colorado2025-greenBox_x015872_y000512
Unknown_Sample,20260226_261_Gen_Alg_2_8_7_Colorado2025-greenBox.czi,Gen_alg,499.44,16508.0,1072.0,30,27,95.94,0.957,20260226_261_Gen_Alg_2_8_7_Colorado2025-greenBox_x016384_y000512
Unknown_Sample,20260226_261_Gen_Alg_2_8_7_Colorado2025-greenBox.czi,Gen_alg,542.54,16478.0,663.0,38,25,104.43,0.949,20260226_261_Gen_Alg_2_8_7_Colorado2025-greenBox_x016384_y000512
Unknown_Sample,20260226_261_Gen_Alg_2_8_7_Colorado2025-greenBox.czi,Gen_alg,678.75,16901.0,725.0,35,36,115.74,0.94,20260226_261_Gen_Alg_2_8_7_Colorado2025-greenBox_x016384_y000512
Unknown_Sample,20260226_261_Gen_Alg_2_8_7_Colorado2025-greenBox.czi,Gen_alg,479.82,16906.0,723.0,23,36,100.53,0.934,20260226_261_Gen_Alg_2_8_7_Colorado2025-greenBox_x016896_y000512
Unknown_Sample,20260226_261_Gen_Alg_2_8_7_Colorado2025-greenBox.czi,Gen_alg,504.06,10172.0,1295.0,28,32,99.6,0.907,20260226_261_Gen_Alg_2_8_7_Colorado2025-greenBox_x009728_y001024
Unknown_Sample,20260226_261_Gen_Alg_2_8_7_Colorado2025-greenBox.czi,Gen_alg,326.68,11200.0,1573.0,27,19,78.04,0.931,20260226_261_Gen_Alg_2_8_7_Colorado2025-greenBox_x010752_y001024
Unknown_Sample,20260226_261_Gen_Alg_2_8_7_Colorado2025-greenBox.czi,Gen_alg,540.61,11414.0,1621.0,25,34,100.53,0.946,20260226_261_Gen_Alg_2_8_7_Colorado2025-greenBox_x011264_y001024
Unknown_Sample,20260226_261_Gen_Alg_2_8_7_Colorado2025-greenBox.czi,Gen_alg,325.52,14737.0,1118.0,28,19,79.46,0.944,20260226_261_Gen_Alg_2_8_7_Colorado2025-greenBox_x014336_y001024
Unknown_Sample,20260226_261_Gen_Alg_2_8_7_Colorado2025-greenBox.czi,Gen_alg,424.02,16070.0,1242.0,27,27,89.94,0.947,20260226_261_Gen_Alg_2_8_7_Colorado2025-greenBox_x015872_y001024
Unknown_Sample,20260226_261_Gen_Alg_2_8_7_Colorado2025-greenBox.czi,Gen_alg,307.44,16503.0,1072.0,18,27,79.56,0.907,20260226_261_Gen_Alg_2_8_7_Colorado2025-greenBox_x015872_y001024
Unknown_Sample,20260226_261_Gen_Alg_2_8_7_Colorado2025-greenBox.czi,Gen_alg,495.98,16508.0,1072.0,30,27,95.36,0.959,20260226_261_Gen_Alg_2_8_7_Colorado2025-greenBox_x016384_y001024
Unknown_Sample,20260226_261_Gen_Alg_2_8_7_Colorado2025-greenBox.czi,Gen_alg,379.77,16801.0,1280.0,25,27,86.53,0.938,20260226_261_Gen_Alg_2_8_7_Colorado2025-greenBox_x016384_y001024
Unknown_Sample,20260226_261_Gen_Alg_2_8_7_Colorado2025-greenBox.czi,Gen_alg,586.01,4355.0,1786.0,32,30,104.18,0.871,20260226_261_Gen_Alg_2_8_7_Colorado2025-greenBox_x004096_y001536
Unknown_Sample,20260226_261_Gen_Alg_2_8_7_Colorado2025-greenBox.czi,Gen_alg,870.36,6756.0,1933.0,35,40,127.25,0.923,20260226_261_Gen_Alg_2_8_7_Colorado2025-greenBox_x006144_y001536
Unknown_Sample,20260226_261_Gen_Alg_2_8_7_Colorado2025-greenBox.czi,Gen_alg,861.52,6756.0,1933.0,35,40,125.5,0.926,20260226_261_Gen_Alg_2_8_7_Colorado2025-greenBox_x006656_y001536
Unknown_Sample,20260226_261_Gen_Alg_2_8_7_Colorado2025-greenBox.czi,Gen_alg,685.29,7503.0,2135.0,30,38,112.67,0.933,20260226_261_Gen_Alg_2_8_7_Colorado2025-greenBox_x007168_y001536
Unknown_Sample,20260226_261_Gen_Alg_2_8_7_Colorado2025-greenBox.czi,Gen_alg,621.41,7950.0,1856.0,32,31,106.18,0.953,20260226_261_Gen_Alg_2_8_7_Colorado2025-greenBox_x007680_y001536
Unknown_Sample,20260226_261_Gen_Alg_2_8_7_Colorado2025-greenBox.czi,Gen_alg,439.8,8147.0,1872.0,25,29,90.53,0.948,20260226_261_Gen_Alg_2_8_7_Colorado2025-greenBox_x007680_y001536
Unknown_Sample,20260226_261_Gen_Alg_2_8_7_Colorado2025-greenBox.czi,Gen_alg,853.05,7867.0,1892.0,37,39,125.15,0.939,20260226_261_Gen_Alg_2_8_7_Colorado2025-greenBox_x007680_y001536
