Sample_ID,CZI_File,Species,Area_um2,Centroid_X,Centroid_Y,Width_px,Height_px,Perimeter_px,Confidence,Tile
Unknown_Sample,20260227_333_Gen_Alg_24_8_3_Colorado2025-greenBox.czi,Gen_alg,609.87,9467.0,2010.0,32,32,107.01,0.953,20260227_333_Gen_Alg_24_8_3_Colorado2025-greenBox_x009216_y001536
Unknown_Sample,20260227_333_Gen_Alg_24_8_3_Colorado2025-greenBox.czi,Gen_alg,480.2,12405.0,2140.0,21,36,101.8,0.781,20260227_333_Gen_Alg_24_8_3_Colorado2025-greenBox_x011776_y001536
Unknown_Sample,20260227_333_Gen_Alg_24_8_3_Colorado2025-greenBox.czi,Gen_alg,690.29,12428.0,2071.0,33,34,113.6,0.856,20260227_333_Gen_Alg_24_8_3_Colorado2025-greenBox_x012288_y001536
Unknown_Sample,20260227_333_Gen_Alg_24_8_3_Colorado2025-greenBox.czi,Gen_alg,852.28,12413.0,2140.0,38,36,125.84,0.517,20260227_333_Gen_Alg_24_8_3_Colorado2025-greenBox_x012288_y001536
Unknown_Sample,20260227_333_Gen_Alg_24_8_3_Colorado2025-greenBox.czi,Gen_alg,648.35,9263.0,2637.0,33,32,109.01,0.955,20260227_333_Gen_Alg_24_8_3_Colorado2025-greenBox_x008704_y002048
Unknown_Sample,20260227_333_Gen_Alg_24_8_3_Colorado2025-greenBox.czi,Gen_alg,589.48,9010.0,2567.0,31,31,104.77,0.952,20260227_333_Gen_Alg_24_8_3_Colorado2025-greenBox_x008704_y002048
Unknown_Sample,20260227_333_Gen_Alg_24_8_3_Colorado2025-greenBox.czi,Gen_alg,704.14,9296.0,2393.0,34,34,113.25,0.951,20260227_333_Gen_Alg_24_8_3_Colorado2025-greenBox_x008704_y002048
Unknown_Sample,20260227_333_Gen_Alg_24_8_3_Colorado2025-greenBox.czi,Gen_alg,612.18,8941.0,2665.0,31,32,106.18,0.948,20260227_333_Gen_Alg_24_8_3_Colorado2025-greenBox_x008704_y002048
Unknown_Sample,20260227_333_Gen_Alg_24_8_3_Colorado2025-greenBox.czi,Gen_alg,506.37,8973.0,2455.0,32,26,96.77,0.935,20260227_333_Gen_Alg_24_8_3_Colorado2025-greenBox_x008704_y002048
Unknown_Sample,20260227_333_Gen_Alg_24_8_3_Colorado2025-greenBox.czi,Gen_alg,738.77,9123.0,2666.0,35,36,116.91,0.933,20260227_333_Gen_Alg_24_8_3_Colorado2025-greenBox_x008704_y002048
Unknown_Sample,20260227_333_Gen_Alg_24_8_3_Colorado2025-greenBox.czi,Gen_alg,525.61,9090.0,2675.0,33,25,102.63,0.895,20260227_333_Gen_Alg_24_8_3_Colorado2025-greenBox_x008704_y002048
Unknown_Sample,20260227_333_Gen_Alg_24_8_3_Colorado2025-greenBox.czi,Gen_alg,207.39,9031.0,2682.0,32,12,75.21,0.869,20260227_333_Gen_Alg_24_8_3_Colorado2025-greenBox_x008704_y002048
Unknown_Sample,20260227_333_Gen_Alg_24_8_3_Colorado2025-greenBox.czi,Gen_alg,653.74,9263.0,2637.0,33,32,110.18,0.953,20260227_333_Gen_Alg_24_8_3_Colorado2025-greenBox_x009216_y002048
Unknown_Sample,20260227_333_Gen_Alg_24_8_3_Colorado2025-greenBox.czi,Gen_alg,704.91,9296.0,2393.0,34,34,113.25,0.95,20260227_333_Gen_Alg_24_8_3_Colorado2025-greenBox_x009216_y002048
Unknown_Sample,20260227_333_Gen_Alg_24_8_3_Colorado2025-greenBox.czi,Gen_alg,618.72,9417.0,2656.0,31,33,106.43,0.949,20260227_333_Gen_Alg_24_8_3_Colorado2025-greenBox_x009216_y002048
Unknown_Sample,20260227_333_Gen_Alg_24_8_3_Colorado2025-greenBox.czi,Gen_alg,649.89,9779.0,2562.0,34,33,110.67,0.934,20260227_333_Gen_Alg_24_8_3_Colorado2025-greenBox_x009216_y002048
Unknown_Sample,20260227_333_Gen_Alg_24_8_3_Colorado2025-greenBox.czi,Gen_alg,673.36,9747.0,2560.0,32,34,111.6,0.932,20260227_333_Gen_Alg_24_8_3_Colorado2025-greenBox_x009216_y002048
Unknown_Sample,20260227_333_Gen_Alg_24_8_3_Colorado2025-greenBox.czi,Gen_alg,662.2,9445.0,2239.0,32,33,109.01,0.929,20260227_333_Gen_Alg_24_8_3_Colorado2025-greenBox_x009216_y002048
Unknown_Sample,20260227_333_Gen_Alg_24_8_3_Colorado2025-greenBox.czi,Gen_alg,553.69,9792.0,2625.0,31,29,101.36,0.917,20260227_333_Gen_Alg_24_8_3_Colorado2025-greenBox_x009216_y002048
Unknown_Sample,20260227_333_Gen_Alg_24_8_3_Colorado2025-greenBox.czi,Gen_alg,655.66,9700.0,2636.0,34,32,110.43,0.906,20260227_333_Gen_Alg_24_8_3_Colorado2025-greenBox_x009216_y002048
Unknown_Sample,20260227_333_Gen_Alg_24_8_3_Colorado2025-greenBox.czi,Gen_alg,674.13,9747.0,2560.0,32,34,111.6,0.927,20260227_333_Gen_Alg_24_8_3_Colorado2025-greenBox_x009728_y002048
Unknown_Sample,20260227_333_Gen_Alg_24_8_3_Colorado2025-greenBox.czi,Gen_alg,678.36,9779.0,2562.0,35,34,114.67,0.926,20260227_333_Gen_Alg_24_8_3_Colorado2025-greenBox_x009728_y002048
Unknown_Sample,20260227_333_Gen_Alg_24_8_3_Colorado2025-greenBox.czi,Gen_alg,558.31,9792.0,2625.0,31,29,102.53,0.904,20260227_333_Gen_Alg_24_8_3_Colorado2025-greenBox_x009728_y002048
Unknown_Sample,20260227_333_Gen_Alg_24_8_3_Colorado2025-greenBox.czi,Gen_alg,643.35,10820.0,2495.0,32,33,109.6,0.958,20260227_333_Gen_Alg_24_8_3_Colorado2025-greenBox_x010240_y002048
Unknown_Sample,20260227_333_Gen_Alg_24_8_3_Colorado2025-greenBox.czi,Gen_alg,748.01,10772.0,2520.0,36,34,117.25,0.958,20260227_333_Gen_Alg_24_8_3_Colorado2025-greenBox_x010240_y002048
Unknown_Sample,20260227_333_Gen_Alg_24_8_3_Colorado2025-greenBox.czi,Gen_alg,662.97,10687.0,2453.0,33,33,109.84,0.956,20260227_333_Gen_Alg_24_8_3_Colorado2025-greenBox_x010240_y002048
Unknown_Sample,20260227_333_Gen_Alg_24_8_3_Colorado2025-greenBox.czi,Gen_alg,635.27,10816.0,2601.0,31,34,106.67,0.954,20260227_333_Gen_Alg_24_8_3_Colorado2025-greenBox_x010240_y002048
Unknown_Sample,20260227_333_Gen_Alg_24_8_3_Colorado2025-greenBox.czi,Gen_alg,620.64,10405.0,2502.0,32,32,107.01,0.948,20260227_333_Gen_Alg_24_8_3_Colorado2025-greenBox_x010240_y002048
