Sample_ID,CZI_File,Species,Area_um2,Centroid_X,Centroid_Y,Width_px,Height_px,Perimeter_px,Confidence,Tile
Unknown_Sample,20260226_233_Gen_Alg_29_7_7_Colorado2025-greenBox.czi,Gen_alg,450.96,12264.0,1141.0,32,22,95.8,0.917,20260226_233_Gen_Alg_29_7_7_Colorado2025-greenBox_x011776_y000512
Unknown_Sample,20260226_233_Gen_Alg_29_7_7_Colorado2025-greenBox.czi,Gen_alg,604.48,12442.0,897.0,30,32,106.53,0.904,20260226_233_Gen_Alg_29_7_7_Colorado2025-greenBox_x012288_y000512
Unknown_Sample,20260226_233_Gen_Alg_29_7_7_Colorado2025-greenBox.czi,Gen_alg,666.05,16337.0,985.0,33,35,111.5,0.941,20260226_233_Gen_Alg_29_7_7_Colorado2025-greenBox_x015872_y000512
Unknown_Sample,20260226_233_Gen_Alg_29_7_7_Colorado2025-greenBox.czi,Gen_alg,654.51,16392.0,736.0,33,32,107.84,0.928,20260226_233_Gen_Alg_29_7_7_Colorado2025-greenBox_x015872_y000512
Unknown_Sample,20260226_233_Gen_Alg_29_7_7_Colorado2025-greenBox.czi,Gen_alg,856.51,16172.0,687.0,38,37,123.74,0.887,20260226_233_Gen_Alg_29_7_7_Colorado2025-greenBox_x015872_y000512
Unknown_Sample,20260226_233_Gen_Alg_29_7_7_Colorado2025-greenBox.czi,Gen_alg,549.85,16396.0,735.0,27,31,103.21,0.892,20260226_233_Gen_Alg_29_7_7_Colorado2025-greenBox_x016384_y000512
Unknown_Sample,20260226_233_Gen_Alg_29_7_7_Colorado2025-greenBox.czi,Gen_alg,700.68,16676.0,712.0,35,32,113.01,0.75,20260226_233_Gen_Alg_29_7_7_Colorado2025-greenBox_x016384_y000512
Unknown_Sample,20260226_233_Gen_Alg_29_7_7_Colorado2025-greenBox.czi,Gen_alg,804.57,2582.0,1612.0,36,36,124.18,0.84,20260226_233_Gen_Alg_29_7_7_Colorado2025-greenBox_x002048_y001024
Unknown_Sample,20260226_233_Gen_Alg_29_7_7_Colorado2025-greenBox.czi,Gen_alg,723.38,2967.0,1547.0,35,34,116.43,0.915,20260226_233_Gen_Alg_29_7_7_Colorado2025-greenBox_x002560_y001024
Unknown_Sample,20260226_233_Gen_Alg_29_7_7_Colorado2025-greenBox.czi,Gen_alg,719.92,2582.0,1613.0,33,35,116.18,0.888,20260226_233_Gen_Alg_29_7_7_Colorado2025-greenBox_x002560_y001024
Unknown_Sample,20260226_233_Gen_Alg_29_7_7_Colorado2025-greenBox.czi,Gen_alg,364.0,2968.0,1575.0,23,26,85.46,0.884,20260226_233_Gen_Alg_29_7_7_Colorado2025-greenBox_x002560_y001024
Unknown_Sample,20260226_233_Gen_Alg_29_7_7_Colorado2025-greenBox.czi,Gen_alg,768.01,3839.0,1618.0,35,35,118.43,0.939,20260226_233_Gen_Alg_29_7_7_Colorado2025-greenBox_x003584_y001024
Unknown_Sample,20260226_233_Gen_Alg_29_7_7_Colorado2025-greenBox.czi,Gen_alg,687.98,4604.0,1479.0,33,34,113.6,0.953,20260226_233_Gen_Alg_29_7_7_Colorado2025-greenBox_x004096_y001024
Unknown_Sample,20260226_233_Gen_Alg_29_7_7_Colorado2025-greenBox.czi,Gen_alg,634.88,4376.0,1533.0,32,32,107.6,0.947,20260226_233_Gen_Alg_29_7_7_Colorado2025-greenBox_x004096_y001024
Unknown_Sample,20260226_233_Gen_Alg_29_7_7_Colorado2025-greenBox.czi,Gen_alg,333.6,4360.0,1655.0,34,18,87.7,0.889,20260226_233_Gen_Alg_29_7_7_Colorado2025-greenBox_x004096_y001024
Unknown_Sample,20260226_233_Gen_Alg_29_7_7_Colorado2025-greenBox.czi,Gen_alg,747.62,4953.0,1593.0,34,35,117.01,0.934,20260226_233_Gen_Alg_29_7_7_Colorado2025-greenBox_x004608_y001024
Unknown_Sample,20260226_233_Gen_Alg_29_7_7_Colorado2025-greenBox.czi,Gen_alg,551.39,5157.0,1651.0,32,26,103.21,0.923,20260226_233_Gen_Alg_29_7_7_Colorado2025-greenBox_x004608_y001024
