Sample_ID,CZI_File,Species,Area_um2,Centroid_X,Centroid_Y,Width_px,Height_px,Perimeter_px,Confidence,Tile
Unknown_Sample,20260226_221_Gen_Alg_27_7_4_Colorado2025-greenBox.czi,Gen_alg,357.84,5625.0,1114.0,33,18,87.46,0.707,20260226_221_Gen_Alg_27_7_4_Colorado2025-greenBox_x005120_y000512
Unknown_Sample,20260226_221_Gen_Alg_27_7_4_Colorado2025-greenBox.czi,Gen_alg,549.85,14655.0,1114.0,30,29,100.53,0.882,20260226_221_Gen_Alg_27_7_4_Colorado2025-greenBox_x014336_y000512
Unknown_Sample,20260226_221_Gen_Alg_27_7_4_Colorado2025-greenBox.czi,Gen_alg,357.84,5625.0,1114.0,33,18,87.46,0.719,20260226_221_Gen_Alg_27_7_4_Colorado2025-greenBox_x005120_y001024
Unknown_Sample,20260226_221_Gen_Alg_27_7_4_Colorado2025-greenBox.czi,Gen_alg,594.1,7510.0,1321.0,29,34,104.43,0.934,20260226_221_Gen_Alg_27_7_4_Colorado2025-greenBox_x007168_y001024
Unknown_Sample,20260226_221_Gen_Alg_27_7_4_Colorado2025-greenBox.czi,Gen_alg,743.39,9694.0,1285.0,32,37,118.77,0.879,20260226_221_Gen_Alg_27_7_4_Colorado2025-greenBox_x009216_y001024
Unknown_Sample,20260226_221_Gen_Alg_27_7_4_Colorado2025-greenBox.czi,Gen_alg,546.77,14655.0,1114.0,30,29,99.36,0.888,20260226_221_Gen_Alg_27_7_4_Colorado2025-greenBox_x014336_y001024
Unknown_Sample,20260226_221_Gen_Alg_27_7_4_Colorado2025-greenBox.czi,Gen_alg,213.94,16108.0,1335.0,18,19,62.97,0.87,20260226_221_Gen_Alg_27_7_4_Colorado2025-greenBox_x015872_y001024
Unknown_Sample,20260226_221_Gen_Alg_27_7_4_Colorado2025-greenBox.czi,Gen_alg,923.08,1898.0,1755.0,40,38,132.67,0.87,20260226_221_Gen_Alg_27_7_4_Colorado2025-greenBox_x001536_y001536
Unknown_Sample,20260226_221_Gen_Alg_27_7_4_Colorado2025-greenBox.czi,Gen_alg,632.96,6139.0,1899.0,33,30,107.36,0.88,20260226_221_Gen_Alg_27_7_4_Colorado2025-greenBox_x005632_y001536
Unknown_Sample,20260226_221_Gen_Alg_27_7_4_Colorado2025-greenBox.czi,Gen_alg,221.25,6149.0,1899.0,13,29,72.38,0.848,20260226_221_Gen_Alg_27_7_4_Colorado2025-greenBox_x006144_y001536
Unknown_Sample,20260226_221_Gen_Alg_27_7_4_Colorado2025-greenBox.czi,Gen_alg,714.92,8027.0,2050.0,35,32,115.94,0.922,20260226_221_Gen_Alg_27_7_4_Colorado2025-greenBox_x007680_y001536
Unknown_Sample,20260226_221_Gen_Alg_27_7_4_Colorado2025-greenBox.czi,Gen_alg,773.02,8730.0,1966.0,36,36,118.33,0.953,20260226_221_Gen_Alg_27_7_4_Colorado2025-greenBox_x008192_y001536
Unknown_Sample,20260226_221_Gen_Alg_27_7_4_Colorado2025-greenBox.czi,Gen_alg,776.86,8730.0,1966.0,36,36,118.33,0.951,20260226_221_Gen_Alg_27_7_4_Colorado2025-greenBox_x008704_y001536
Unknown_Sample,20260226_221_Gen_Alg_27_7_4_Colorado2025-greenBox.czi,Gen_alg,731.46,9691.0,2133.0,33,35,117.36,0.894,20260226_221_Gen_Alg_27_7_4_Colorado2025-greenBox_x009216_y001536
Unknown_Sample,20260226_221_Gen_Alg_27_7_4_Colorado2025-greenBox.czi,Gen_alg,573.32,14885.0,2138.0,31,30,101.6,0.953,20260226_221_Gen_Alg_27_7_4_Colorado2025-greenBox_x014336_y001536
Unknown_Sample,20260226_221_Gen_Alg_27_7_4_Colorado2025-greenBox.czi,Gen_alg,573.7,14885.0,2138.0,31,30,102.18,0.952,20260226_221_Gen_Alg_27_7_4_Colorado2025-greenBox_x014848_y001536
Unknown_Sample,20260226_221_Gen_Alg_27_7_4_Colorado2025-greenBox.czi,Gen_alg,399.01,8028.0,2056.0,34,19,93.21,0.948,20260226_221_Gen_Alg_27_7_4_Colorado2025-greenBox_x007680_y002048
Unknown_Sample,20260226_221_Gen_Alg_27_7_4_Colorado2025-greenBox.czi,Gen_alg,731.08,9691.0,2133.0,33,35,116.77,0.901,20260226_221_Gen_Alg_27_7_4_Colorado2025-greenBox_x009216_y002048
Unknown_Sample,20260226_221_Gen_Alg_27_7_4_Colorado2025-greenBox.czi,Gen_alg,573.32,14885.0,2138.0,31,30,101.6,0.952,20260226_221_Gen_Alg_27_7_4_Colorado2025-greenBox_x014336_y002048
Unknown_Sample,20260226_221_Gen_Alg_27_7_4_Colorado2025-greenBox.czi,Gen_alg,573.7,14885.0,2138.0,31,30,102.18,0.951,20260226_221_Gen_Alg_27_7_4_Colorado2025-greenBox_x014848_y002048
Unknown_Sample,20260226_221_Gen_Alg_27_7_4_Colorado2025-greenBox.czi,Gen_alg,654.89,6527.0,2877.0,33,33,109.25,0.95,20260226_221_Gen_Alg_27_7_4_Colorado2025-greenBox_x006144_y002560
