Collection_Date,Species,Total_Grains_Avg,Total_Grains_SE,N_Samples,Conspecific_Avg,Conspecific_SE,Conspecific_count,Heterospecific_Avg,Heterospecific_SE,Heterospecific_count
2025-07-12,Ran_ado,91.83333333333333,14.302577582037303,18,24.88888888888889,4.73333947036946,18,0.3333333333333333,0.1807753815155468,18
2025-07-14,Ran_ado,93.58181818181818,12.5760632797211,55,22.636363636363637,2.7199677702046294,55,0.6363636363636364,0.19308524026756355,55
2025-07-16,Ran_ado,105.5,14.300969284408833,52,25.423076923076923,3.707371702779308,52,0.4423076923076923,0.10057699878006891,52
2025-07-18,Ran_ado,46.24390243902439,8.501418854879667,41,14.390243902439025,2.820845325814821,41,0.1951219512195122,0.07173385936513534,41
2025-07-20,Ran_ado,292.5652173913044,133.40169860427636,46,91.41304347826087,41.98812318945567,46,1.7173913043478262,0.8221939798847387,46
2025-07-22,Ran_ado,76.38333333333334,18.55932755677583,60,19.683333333333334,4.9802713416574855,60,0.25,0.07374180027192605,60
2025-07-24,Ran_ado,79.5,14.38865293671834,16,16.9375,2.817310700532218,16,0.1875,0.10077822185373188,16
2025-07-26,Ran_ado,59.90909090909091,10.941542641323517,11,13.727272727272727,2.9881307902825656,11,0.5454545454545454,0.2073046227452978,11
2025-07-28,Ran_ado,83.77777777777777,33.22264027979254,9,26.333333333333332,10.981044273352754,9,0.2222222222222222,0.1469861839480328,9
2025-07-30,Ran_ado,88.88888888888889,28.69400074950068,9,22.11111111111111,7.5414492499866,9,0.8888888888888888,0.3888888888888889,9
2025-08-01,Ran_ado,306.1666666666667,182.3134926327714,12,102.58333333333333,63.236384129532404,12,0.4166666666666667,0.19299604852813632,12
2025-08-03,Ran_ado,138.11111111111111,20.842294369092414,9,28.666666666666668,5.265189666310438,9,1.3333333333333333,0.37267799624996495,9
