Collection_Date,Species,Total_Grains_Avg,Total_Grains_SE,N_Samples,Conspecific_Avg,Conspecific_SE,Conspecific_count,Heterospecific_Avg,Heterospecific_SE,Heterospecific_count
2025-07-12,Ran_ado,78.25,17.254830241606744,4,18.75,4.767511580129268,4,0.5,0.28867513459481287,4
2025-07-14,Ran_ado,63.5,15.253663246061336,12,15.333333333333334,3.5746017649212027,12,0.75,0.2175970699446223,12
2025-07-16,Ran_ado,100.55555555555556,23.301234535195714,9,19.444444444444443,4.116737891121748,9,1.5555555555555556,0.6478835438717,9
2025-07-18,Ran_ado,36.25,14.857357484713472,8,10.875,4.6730133288306135,8,0.75,0.25,8
2025-07-20,Ran_ado,616.3333333333334,522.5512202433152,9,169.88888888888889,145.91706590888123,9,6.888888888888889,5.800968416385427,9
2025-07-22,Ran_ado,74.28571428571429,29.452406862864343,14,17.714285714285715,7.628336828100299,14,0.6428571428571429,0.2694549414338292,14
2025-07-24,Ran_ado,40.666666666666664,15.025903559446192,3,9.333333333333334,2.1858128414340006,3,0.3333333333333333,0.33333333333333337,3
2025-07-26,Ran_ado,21.0,4.0,2,2.5,0.5,2,1.0,0.0,2
2025-07-28,Ran_ado,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1
2025-07-30,Ran_ado,27.0,27.0,2,5.5,5.5,2,1.5,1.5,2
2025-08-01,Ran_ado,844.6666666666666,721.3677594988873,3,273.6666666666667,248.20444082337536,3,7.333333333333333,6.333333333333334,3
2025-08-03,Ran_ado,108.0,0.0,1,27.0,0.0,1,0.0,0.0,1
